FL, B15, B30, B45, B60, B75, A90, A75, A60, A45, A30, A15, FR, vel-10, vel-9, vel-8, vel-7, vel-6, vel-5, vel-4, vel-3, vel-2, vel-1, steering_angle, throttle, brake
3.052994, 3.033975, 3.304564, 3.910904, 4.829510, 6.408634, 8.707347, 11.173218, 1.595006, 1.036725, 0.810700, 0.759893, 0.775381, 49.027470, 50.093351, 51.195059, 52.390010, 53.518334, 54.671766, 54.781643, 55.140866, 55.489305, 55.809532, -0.004549, -0.000000, 0.059526
2.954432, 2.975388, 3.241479, 3.812022, 4.562677, 5.977101, 8.079800, 10.414548, 1.759884, 1.141806, 0.892020, 0.772127, 0.725323, 50.093351, 51.195059, 52.390010, 53.518334, 54.671766, 54.781643, 55.140866, 55.489305, 55.809532, 55.630163, -0.000831, -0.000000, 0.369030
2.887614, 2.923828, 3.184969, 3.602710, 4.311534, 5.569141, 7.483334, 9.690722, 3.088250, 1.238701, 0.967574, 0.837424, 0.786589, 51.195059, 52.390010, 53.518334, 54.671766, 54.781643, 55.140866, 55.489305, 55.809532, 55.630163, 55.247536, 0.003031, -0.000000, 0.839854
2.806302, 2.845900, 2.947132, 3.234355, 3.875194, 4.853535, 6.418265, 8.385215, 10.779877, 2.105230, 1.292094, 0.973805, 0.885901, 53.518334, 54.671766, 54.781643, 55.140866, 55.489305, 55.809532, 55.630163, 55.247536, 54.422237, 53.219446, 0.016441, -0.000000, 1.000000
2.779484, 2.735074, 2.800803, 3.079955, 3.621915, 4.550612, 5.952814, 7.805551, 10.123146, 2.613343, 1.617055, 1.223478, 1.043342, 54.671766, 54.781643, 55.140866, 55.489305, 55.809532, 55.630163, 55.247536, 54.422237, 53.219446, 51.359532, 0.023291, -0.000000, 1.000000
2.719609, 2.602315, 2.671412, 2.945649, 3.393630, 4.282177, 5.527749, 7.269025, 9.516782, 12.068000, 1.901403, 1.445960, 1.237147, 54.781643, 55.140866, 55.489305, 55.809532, 55.630163, 55.247536, 54.422237, 53.219446, 51.359532, 49.326183, 0.029285, -0.000000, 1.000000
2.589731, 2.485581, 2.559296, 2.789703, 3.189729, 4.046566, 5.139915, 6.771769, 8.955453, 11.574783, 2.143981, 1.640519, 1.409217, 55.140866, 55.489305, 55.809532, 55.630163, 55.247536, 54.422237, 53.219446, 51.359532, 49.326183, 47.302601, 0.035643, -0.000000, 1.000000
2.475763, 2.384393, 2.463581, 2.619768, 3.008291, 3.756272, 4.784502, 6.308242, 8.431982, 11.112163, 2.817014, 1.808606, 1.560578, 55.489305, 55.809532, 55.630163, 55.247536, 54.422237, 53.219446, 51.359532, 49.326183, 47.302601, 45.277343, 0.041852, -0.000000, 1.000000
1.309290, 1.223485, 1.227533, 1.250527, 1.323453, 1.515173, 1.925228, 2.894068, 4.572245, 7.571772, 11.119884, 14.187897, 3.521084, 39.567421, 37.691523, 36.106412, 35.303994, 34.155641, 33.430481, 33.372208, 32.508752, 32.242666, 32.696642, 0.204712, 0.277760, -0.000000
1.246116, 1.177497, 1.103223, 1.100938, 1.178123, 1.367320, 1.772730, 2.672069, 4.423426, 7.420197, 11.152291, 14.255859, 3.584867, 37.691523, 36.106412, 35.303994, 34.155641, 33.430481, 33.372208, 32.508752, 32.242666, 32.696642, 31.895755, 0.214303, 0.269825, -0.000000
